Lake,Trip_Date,SampNo,STime,Effort,SampSite,UTMEasting,UTMNorthing,Species,Length,Weight
Acton,10/13/2004,1,1930,120,,694233,4381000,77001,176,
Acton,10/13/2004,1,1930,120,,694233,4381000,77001,226,
Acton,10/13/2004,1,1930,120,,694233,4381000,77001,165,
Acton,10/13/2004,1,1930,120,,694233,4381000,77009,132,
Acton,10/13/2004,1,1930,120,,694233,4381000,77009,146,
Acton,10/13/2004,1,1930,120,,694233,4381000,77009,90,
Acton,10/13/2004,1,1930,120,,694233,4381000,77009,81,
Acton,10/13/2004,1,1930,120,,694233,4381000,20003,214,98.5
Acton,10/13/2004,1,1930,120,,694233,4381000,20003,216,98.7
Acton,10/13/2004,1,1930,120,,694233,4381000,20003,196,
Acton,10/13/2004,1,1930,120,,694233,4381000,20003,193,
Acton,10/13/2004,1,1930,120,,694233,4381000,20003,220,104.7
Acton,10/13/2004,1,1930,120,,694233,4381000,20003,201,
Acton,10/13/2004,1,1930,120,,694233,4381000,20003,181,
Acton,10/13/2004,1,1930,120,,694233,4381000,20003,192,
Acton,10/13/2004,1,1930,120,,694233,4381000,20003,208,
Acton,10/13/2004,1,1930,120,,694233,4381000,20003,105,
Acton,10/13/2004,2,1945,125,,694380,4381119,20003,186,58.3
Acton,10/13/2004,2,1945,125,,694380,4381119,20003,204,86.7
Acton,10/13/2004,3,2000,130,,694877,4382035,47002,321,
Acton,10/13/2004,3,2000,130,,694877,4382035,47002,313,
Acton,10/13/2004,3,2000,130,,694877,4382035,47002,200,
Acton,10/13/2004,3,2000,130,,694877,4382035,77001,200,
Acton,10/13/2004,3,2000,130,,694877,4382035,77001,109,
Acton,10/13/2004,3,2000,130,,694877,4382035,77010,151,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,195,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,210,90.4
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,215,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,189,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,219,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,188,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,221,107.7
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,196,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,191,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,207,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,198,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,192,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,187,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,194,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,201,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,191,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,212,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,192,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,194,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,192,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,188,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,194,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,183,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,184,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,194,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,192,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,187,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,180,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,186,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,191,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,183,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,189,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,190,
Acton,10/13/2004,3,2000,130,,694877,4382035,20003,102,
Acton,10/13/2004,4,2010,130,,694877,4382035,77001,237,
Acton,10/13/2004,4,2010,130,,694877,4382035,47002,186,
Acton,10/13/2004,4,2010,130,,694877,4382035,47002,161,
Acton,10/13/2004,4,2010,130,,694877,4382035,20003,204,
Acton,10/13/2004,4,2010,130,,694877,4382035,20003,182,
Acton,10/13/2004,4,2010,130,,694877,4382035,20003,197,
