Lake,Trip_Date,SampSite,UTMEasting,UTMNorthing,ReadDepth,Temp,DO
Hoover,5/16/2005,1m,339746,4441462,0,20,10.73
Hoover,5/16/2005,1m,339746,4441462,1,19.9,10.94
Hoover,5/16/2005,1m,339746,4441462,2,17.3,10.85
Hoover,5/16/2005,1m,339746,4441462,3,15.5,8.84
Hoover,5/16/2005,1m,339746,4441462,4,15.3,8.12
Hoover,5/16/2005,1m,339746,4441462,5,14.9,7.14
Hoover,5/16/2005,1m,339746,4441462,6,14.2,6.01
Hoover,5/16/2005,1m,339746,4441462,7,13.8,5.5
Hoover,5/16/2005,1U,339807,4452943,0,16.5,10.62
Hoover,5/16/2005,1U,339807,4452943,1,16.6,10.24
Hoover,5/16/2005,1U,339807,4452943,2,16.6,9.87
Hoover,5/16/2005,1U,339807,4452943,3,16.3,8.85
Hoover,5/16/2005,1U,339807,4452943,4,16.3,8.2
Hoover,5/16/2005,1U,339807,4452943,5,14.7,5.75
Hoover,5/16/2005,1U,339807,4452943,6,12,3.83
Hoover,5/16/2005,1U,339807,4452943,7,11.4,3.63
Hoover,5/16/2005,1U,339807,4452943,8,11.2,2.79
Hoover,5/16/2005,,339807,4452943,0,16.5,10.62
Hoover,5/16/2005,,339807,4452943,1,16.6,10.24
Hoover,5/16/2005,,339807,4452943,2,16.6,9.87
Hoover,5/16/2005,,339807,4452943,3,16.3,8.85
Hoover,5/16/2005,,339807,4452943,4,16.1,8.2
Hoover,5/16/2005,,339807,4452943,5,14.7,5.75
Hoover,5/16/2005,,339807,4452943,6,10,3.83
Hoover,5/16/2005,,339807,4452943,7,11.4,3.63
Hoover,5/16/2005,,339807,4452943,8,11.2,2.79
Hoover,5/17/2005,,339746,4441462,0,20,10.73
Hoover,5/17/2005,,339746,4441462,1,19.9,10.94
Hoover,5/17/2005,,339746,4441462,2,17.3,10.85
Hoover,5/17/2005,,339746,4441462,3,15.5,8.84
Hoover,5/17/2005,,339746,4441462,4,15.3,8.12
Hoover,5/17/2005,,339746,4441462,5,14.9,7.14
Hoover,5/17/2005,,339746,4441462,6,14.2,6.01
Hoover,5/17/2005,,339746,4441462,7,13.8,5.5
Hoover,5/18/2005,1L,340203,4445548,0,18.6,11.88
Hoover,5/18/2005,1L,340203,4445548,1,18.6,11.66
Hoover,5/18/2005,1L,340203,4445548,2,16.9,10.48
Hoover,5/18/2005,1L,340203,4445548,3,15.9,9.48
Hoover,5/18/2005,1L,340203,4445548,4,15.4,8.08
Hoover,5/18/2005,1L,340203,4445548,5,14.7,6.71
Hoover,5/18/2005,1L,340203,4445548,6,13.8,5.64
Hoover,5/18/2005,1L,340203,4445548,7,12.9,4.8
Hoover,5/18/2005,1L,340203,4445548,8,12.7,4.66
Hoover,5/18/2005,1L,340203,4445548,9,12.2,4.3
Hoover,5/18/2005,1L,340203,4445548,10,11,4.02
Hoover,5/18/2005,,340203,4445548,0,18.6,11.88
Hoover,5/18/2005,,340203,4445548,1,18.6,11.66
