Date, Interval, Layer, Sv_mean, ABC,Sigma,Density,Wt/fish,Biomass, Height_mean, Depth_mean, Good_samples, Layer_depth_min, Layer_depth_max, Ping_S, Ping_E, Dist_M,Time,Northing,Easting
8/14/2012,1,3,-42.341543,5.77E-05,1.28E-05,45242.60767,2.8095,127.1085626,0.989472,2.493999,72868,2,3,3,1324,122.933087,21:00,4450750,339825
8/14/2012,1,4,-41.838658,2.31E-06,1.28E-05,1811.78039,2.8095,5.0901752,0.035292,3.048988,2599,3,4,3,1324,122.933087,21:00,4450750,339825
8/14/2012,2,3,-43.299529,4.70E-05,1.28E-05,36866.47543,2.8095,103.5759197,1.005278,2.501581,69104,2,3,1325,2558,373.367162,21:03,4450595,339630
8/14/2012,2,4,-41.540705,2.01E-05,1.28E-05,15739.53031,2.8095,44.2200213,0.286262,3.157959,19678,3,4,1325,2558,373.367162,21:03,4450595,339630
8/14/2012,3,3,-44.491994,3.57E-05,1.28E-05,28014.64803,2.8095,78.706817,1.005278,2.501581,65352,2,3,2559,3725,614.715915,21:06,4450468,339428
8/14/2012,3,4,-45.206594,1.02E-05,1.28E-05,8035.61679,2.8095,22.5759688,0.339923,3.17656,22098,3,4,2559,3725,614.715915,21:06,4450468,339428
8/14/2012,4,3,-45.945808,2.56E-05,1.28E-05,20044.89194,2.8095,56.315883,1.005278,2.501581,68768,2,3,3726,4953,874.234726,21:10,4450346,339499
8/14/2012,4,4,-46.14819,1.13E-05,1.28E-05,8855.55477,2.8095,24.8795747,0.465304,3.247179,31830,3,4,3726,4953,874.234726,21:10,4450346,339499
8/14/2012,5,3,-46.538256,2.23E-05,1.28E-05,17488.758,2.8095,49.1344554,1.005278,2.501581,67256,2,3,4954,6154,1123.4885,21:14,4450218,339711
8/14/2012,5,4,-44.170754,3.48E-05,1.28E-05,27314.63184,2.8095,76.7401299,0.910275,3.463531,60900,3,4,4954,6154,1123.4885,21:14,4450218,339711
8/14/2012,5,5,-43.579949,1.58E-06,1.28E-05,1239.98364,2.8095,3.4837191,0.036067,4.047994,2413,4,5,4954,6154,1123.4885,21:14,4450218,339711
8/14/2012,6,3,-46.168958,2.43E-05,1.28E-05,19040.95559,2.8095,53.4953359,1.005278,2.501581,69160,2,3,6155,7389,1371.994183,21:17,4450140,339940
8/14/2012,6,4,-43.643549,3.95E-05,1.28E-05,30946.45174,2.8095,86.9436843,0.913414,3.465627,62840,3,4,6155,7389,1371.994183,21:17,4450140,339940
8/14/2012,6,5,-42.52194,1.90E-05,1.28E-05,14870.30789,2.8095,41.7779513,0.339013,4.389431,23323,4,5,6155,7389,1371.994183,21:17,4450140,339940
8/14/2012,6,6,-45.436449,1.03E-07,1.28E-05,80.82326,2.8095,0.227072,0.003605,5.022305,248,5,6,6155,7389,1371.994183,21:17,4450140,339940
8/14/2012,7,3,-43.964921,3.80E-05,1.28E-05,29754.83351,2.8095,83.5958472,0.945696,2.495736,49362,2,3,7390,8326,1648.435817,21:20,4450094,340126
8/14/2012,7,4,-42.040543,5.61E-05,1.28E-05,44012.06334,2.8095,123.6513631,0.898106,3.495426,46878,3,4,7390,8326,1648.435817,21:20,4450094,340126
8/14/2012,7,5,-39.995852,8.75E-05,1.28E-05,68601.19393,2.8095,192.73423,0.874216,4.487631,45631,4,5,7390,8326,1648.435817,21:20,4450094,340126
8/14/2012,7,6,-39.443247,2.18E-05,1.28E-05,17114.85597,2.8095,48.0839822,0.192044,5.123112,10024,5,6,7390,8326,1648.435817,21:20,4450094,340126
8/14/2012,8,3,-47.670541,1.72E-05,1.28E-05,13475.05303,2.8095,37.8579996,1.005278,2.501581,61712,2,3,8327,9428,1872.684615,21:24,4449931,340275
8/14/2012,8,4,-44.196365,3.70E-05,1.28E-05,28968.061,2.8095,81.3854193,0.971086,3.490384,59613,3,4,8327,9428,1872.684615,21:24,4449931,340275
8/14/2012,8,5,-40.523597,2.60E-05,1.28E-05,20400.18575,2.8095,57.3140767,0.293559,4.300244,18021,4,5,8327,9428,1872.684615,21:24,4449931,340275
8/14/2012,8,6,-38.098619,7.42E-07,1.28E-05,581.70165,2.8095,1.6342838,0.004789,5.04378,294,5,6,8327,9428,1872.684615,21:24,4449931,340275
8/14/2012,9,3,-43.6585,4.33E-05,1.28E-05,33941.7771,2.8095,95.3590149,1.005278,2.501581,58352,2,3,9429,10470,2117.572449,21:27,4449717,340391
8/14/2012,9,4,-42.184818,5.97E-05,1.28E-05,46803.39926,2.8095,131.4935878,0.987327,3.497884,57310,3,4,9429,10470,2117.572449,21:27,4449717,340391
8/14/2012,9,5,-41.1982,6.19E-05,1.28E-05,48547.43646,2.8095,136.3934394,0.815996,4.441114,47365,4,5,9429,10470,2117.572449,21:27,4449717,340391
8/14/2012,9,6,-40.786526,3.29E-05,1.28E-05,25780.67246,2.8095,72.4304895,0.394138,5.352377,22878,5,6,9429,10470,2117.572449,21:27,4449717,340391
8/14/2012,10,3,-44.524396,3.55E-05,1.28E-05,27806.41381,2.8095,78.1217854,1.005278,2.501581,57064,2,3,10471,11489,2374.301861,21:30,4449488,340503
8/14/2012,10,4,-42.160971,6.00E-05,1.28E-05,47061.10787,2.8095,132.217617,0.987327,3.497884,56045,3,4,10471,11489,2374.301861,21:30,4449488,340503
8/14/2012,10,5,-40.98516,5.12E-05,1.28E-05,40171.29807,2.8095,112.8607792,0.642886,4.356777,36493,4,5,10471,11489,2374.301861,21:30,4449488,340503
8/14/2012,10,6,-40.076145,3.91E-07,1.28E-05,306.70175,2.8095,0.8616749,0.003981,5.028678,226,5,6,10471,11489,2374.301861,21:30,4449488,340503
8/14/2012,11,3,-43.347914,4.65E-05,1.28E-05,36458.02418,2.8095,102.4283808,1.005278,2.501581,43344,2,3,11490,12263,2595.996152,21:33,4449315,340635
8/14/2012,11,4,-41.374026,7.20E-05,1.28E-05,56410.06097,2.8095,158.4833884,0.987327,3.497884,42570,3,4,11490,12263,2595.996152,21:33,4449315,340635
8/14/2012,11,5,-40.163321,5.89E-05,1.28E-05,46195.34536,2.8095,129.7852677,0.611832,4.310285,26380,4,5,11490,12263,2595.996152,21:33,4449315,340635
8/14/2012,12,3,-46.861005,2.07E-05,1.28E-05,16236.18787,2.8095,45.6153747,1.005278,2.501581,22232,2,3,12264,12660,2940.924599,21:37,4448995,340691
8/14/2012,12,4,-48.073865,1.54E-05,1.28E-05,12060.70467,2.8095,33.8844048,0.987327,3.497884,21835,3,4,12264,12660,2940.924599,21:37,4448995,340691
