Lake,Trip_Date,SampNo,STime,Effort,SampSite,UTMEasting,UTMNorthing,Species,Length,Weight
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,77001,218,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,80026,528,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,77001,220,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,80026,329,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,180,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,183,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,186,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,174,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,136,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,134,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,132,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,128,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,47002,209,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,133,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,132,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,126,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,131,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,134,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,128,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,139,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,132,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,136,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,127,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,141,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,141,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,140,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,138,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,132,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,136,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,135,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,136,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,132,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,125,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,140,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,131,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,133,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,131,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,141,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,131,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,134,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,150,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,139,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,134,
Hoover,10/10/2006,1,1945,90,upon,339690,4449565,20003,132,
Hoover,10/10/2006,2,2000,100,upoff,339780,4449563,20003,67,
Hoover,10/10/2006,2,2000,100,upoff,339780,4449563,20003,133,
Hoover,10/10/2006,2,2000,100,upoff,339780,4449563,77001,206,
Hoover,10/10/2006,2,2000,100,upoff,339780,4449563,20003,129,
Hoover,10/10/2006,2,2000,100,upoff,339780,4449563,20003,138,
Hoover,10/10/2006,2,2000,100,upoff,339780,4449563,20003,140,
Hoover,10/10/2006,2,2000,100,upoff,339780,4449563,20003,131,
Hoover,10/10/2006,2,2000,100,upoff,339780,4449563,20003,162,
Hoover,10/10/2006,2,2000,100,upoff,339780,4449563,20003,133,
Hoover,10/10/2006,2,2000,100,upoff,339780,4449563,20003,131,
Hoover,10/10/2006,2,2000,100,upoff,339780,4449563,20003,130,
Hoover,10/10/2006,2,2000,100,upoff,339780,4449563,20003,142,
