Transect,Easting,Northing
up,339165,4450507
up,339215,4450507
up,339265,4450507
up,339315,4450507
up,339365,4450507
up,339415,4450507
up,339465,4450507
up,339515,4450507
up,339565,4450507
up,339615,4450507
up,339665,4450507
up,339715,4450507
up,339765,4450507
up,339815,4450507
up,339865,4450507
up,339915,4450507
up,339965,4450507
up,340015,4450507
up,340065,4450507
up,340115,4450507
up,340165,4450507
up,340215,4450507
up,340265,4450507
up,340315,4450507
mid,340030,4446654
mid,340080,4446654
mid,340130,4446654
mid,340180,4446654
mid,340230,4446654
mid,340280,4446654
mid,340330,4446654
mid,340380,4446654
mid,340430,4446654
mid,340480,4446654
mid,340530,4446654
mid,340580,4446654
down,339354,4442261
down,339404,4442261
down,339454,4442261
down,339504,4442261
down,339554,4442261
down,339604,4442261
down,339654,4442261
down,339704,4442261
down,339754,4442261
down,339804,4442261
down,339854,4442261
down,339904,4442261
down,339954,4442261
