Easting,Northing
339219,4452737
339237,4452690
339255,4452644
339272,4452597
339290,4452550
339308,4452503
339326,4452457
339344,4452410
339361,4452363
339379,4452316
339397,4452270
339415,4452223
339433,4452176
339450,4452130
339468,4452083
339486,4452036
339504,4451989
339522,4451943
339539,4451896
339557,4451849
339575,4451802
339593,4451756
339611,4451709
339628,4451662
339646,4451615
339664,4451569
339682,4451522
339700,4451475
339717,4451429
339735,4451382
339753,4451335
339771,4451288
339789,4451242
339806,4451195
339824,4451148
339842,4451101
339860,4451055
339878,4451008
339895,4450961
339913,4450915
339931,4450868
339949,4450821
339967,4450774
339984,4450728
340002,4450681
340020,4450634
340038,4450587
340056,4450541
340073,4450494
340091,4450447
340109,4450400
340127,4450354
340145,4450307
340162,4450260
340180,4450214
340198,4450167
340216,4450120
340234,4450073
340251,4450027
340269,4449980
340287,4449933
340305,4449886
340323,4449840
340340,4449793
340358,4449746
340376,4449700
340394,4449653
340412,4449606
340429,4449559
340447,4449513
340465,4449466
340483,4449419
340501,4449372
340518,4449326
340536,4449279
340554,4449232
340572,4449186
340590,4449139
340607,4449092
340625,4449045
340619,4448996
340612,4448946
340605,4448897
340599,4448847
340592,4448798
340586,4448748
340579,4448698
340572,4448649
340566,4448599
340559,4448550
340553,4448500
340546,4448451
340539,4448401
340533,4448351
340526,4448302
340520,4448252
340513,4448203
340506,4448153
340500,4448104
340493,4448054
340487,4448005
340480,4447955
340473,4447905
340467,4447856
340460,4447806
340454,4447757
340447,4447707
340440,4447658
340434,4447608
340427,4447559
340421,4447509
340414,4447459
340407,4447410
340401,4447360
340394,4447311
340388,4447261
340381,4447212
340374,4447162
340368,4447112
340361,4447063
340355,4447013
340348,4446964
340341,4446914
340335,4446865
340328,4446815
340322,4446766
340315,4446716
340308,4446666
340302,4446617
340295,4446567
340289,4446518
340282,4446468
340275,4446419
340269,4446369
340262,4446320
340256,4446270
340249,4446220
340242,4446171
340236,4446121
340229,4446072
340223,4446022
340216,4445973
340209,4445923
340203,4445873
340196,4445824
340190,4445774
340183,4445725
340176,4445675
340170,4445626
340163,4445576
340157,4445527
340150,4445477
340143,4445427
340137,4445378
340130,4445328
340124,4445279
340117,4445229
340110,4445180
340104,4445130
340097,4445081
340091,4445031
340084,4444981
340077,4444932
340071,4444882
340064,4444833
340058,4444783
340051,4444734
340044,4444684
340038,4444634
340031,4444585
340025,4444535
340018,4444486
340011,4444436
340005,4444387
339998,4444337
339992,4444288
339985,4444238
339978,4444188
339972,4444139
339965,4444089
339959,4444040
339952,4443990
339945,4443941
339939,4443891
339932,4443842
339926,4443792
339919,4443742
339912,4443693
339906,4443643
339899,4443594
339893,4443544
339886,4443495
339879,4443445
339873,4443395
339866,4443346
339860,4443296
339853,4443247
339846,4443197
339840,4443148
339833,4443098
339827,4443049
339820,4442999
339813,4442949
339807,4442900
339800,4442850
339794,4442801
339787,4442751
339780,4442702
339774,4442652
339767,4442603
339761,4442553
339754,4442503
339747,4442454
339741,4442404
339734,4442355
339728,4442305
339721,4442256
339714,4442206
339708,4442156
339701,4442107
339695,4442057
339688,4442008
339681,4441958
339675,4441909
339668,4441859
339662,4441810
339655,4441760
339648,4441710
339642,4441661
339635,4441611
339629,4441562
